year,id,ndvi
2000,162,2753.688877
2000,509,2076.839133
2000,801,2761.086442
2000,843,4112.086992
2000,899,5905.649367
2000,955,1651.288452
2000,1079,2017.90908
2000,1436,3827.314416
2000,1617,5371.453834
2000,2381,4024.477773
2000,2387,3859.097976
2000,2538,2444.793035
2000,2667,3097.769333
2000,3018,5625.001232
2000,3399,4473.579643
2000,3614,4088.875628
2000,3775,4491.294831
2000,3820,1839.475484
2000,4508,1930.352061
2000,4867,4286.855485
2000,4908,3964.761966
2000,5492,5156.532448
2000,6125,5037.496606
2000,8272,2157.654858
2000,9767,4084.975865
2000,9798,1723.487591
2000,10656,3910.119456
2000,11124,5354.398997
2000,12446,4960.383784
2000,12457,3995.090295
2000,12570,2011.252406
2000,13782,4966.698736
2000,14512,4444.523505
2000,14550,5131.387688
2000,14683,5516.253673
2000,15085,2534.153361
2000,15616,2455.036159
2000,16485,4328.643262
2000,16833,4919.193092
2000,18541,3073.774491
2000,18542,3221.081887
2000,18585,4036.281967
2000,18815,3690.436416
2000,18861,4513.817039
2000,19004,4254.486913
2000,19326,5407.83338
2000,20593,2852.060069
2000,22224,3724.777848
2000,23007,4399.626951
2000,23460,2482.425606
2001,162,2616.475175
2001,509,2041.199569
2001,801,2749.517443
2001,843,4127.350019
2001,899,5792.141258
2001,955,1536.950563
2001,1079,1916.144883
2001,1436,3623.591558
2001,1617,5187.516585
2001,2381,4011.169792
2001,2387,4050.33223
2001,2538,2595.792451
2001,2667,2953.096039
2001,3018,5272.770931
2001,3399,4410.8335
2001,3614,3886.633598
2001,3775,4481.420059
2001,3820,2219.270146
2001,4508,1799.434839
2001,4867,4213.60234
2001,4908,3886.826036
2001,5492,5110.268795
2001,6125,4770.028442
2001,8272,1885.111013
2001,9767,3739.181981
2001,9798,1588.842466
2001,10656,3189.634164
2001,11124,5223.660306
2001,12446,4642.437916
2001,12457,3749.040719
2001,12570,1813.128807
2001,13782,4654.926699
2001,14512,4165.512207
2001,14550,4742.478375
2001,14683,5160.447257
2001,15085,2302.171229
2001,15616,1806.257139
2001,16485,3831.217959
2001,16833,4957.232094
2001,18541,2857.190204
2001,18542,3162.639854
2001,18585,3844.34904
2001,18815,3521.343107
2001,18861,4447.557839
2001,19004,4097.502682
2001,19326,5011.354506
2001,20593,2568.732186
2001,22224,3892.181618
2001,23007,4024.425741
2001,23460,2390.222055
2002,162,2583.882185
2002,509,1606.637975
2002,801,2772.840737
2002,843,3851.14224
2002,899,5372.02078
2002,955,1469.338336
2002,1079,1774.397621
2002,1436,3586.920977
2002,1617,4864.570725
2002,2381,3774.482168
2002,2387,3737.907308
2002,2538,2308.854532
2002,2667,2740.235169
2002,3018,5431.905349
2002,3399,4199.853448
2002,3614,3758.818558
2002,3775,4104.590014
2002,3820,2469.11982
2002,4508,1742.150937
2002,4867,4411.280494
2002,4908,4036.209231
2002,5492,4783.113899
2002,6125,4766.362724
2002,8272,1786.58282
2002,9767,3362.975273
2002,9798,1618.166131
2002,10656,3096.05221
2002,11124,4889.449364
2002,12446,3867.725108
2002,12457,2777.770885
2002,12570,1738.41316
2002,13782,4529.553916
2002,14512,3879.37508
2002,14550,4939.567855
2002,14683,5272.404945
2002,15085,2222.108785
2002,15616,2057.409946
2002,16485,3641.020723
2002,16833,3537.835523
2002,18541,2456.354672
2002,18542,2506.058418
2002,18585,2969.033196
2002,18815,3081.645454
2002,18861,3209.693788
2002,19004,2775.15666
2002,19326,3491.138158
2002,20593,2336.636473
2002,22224,3503.045405
2002,23007,3818.660098
2002,23460,2293.331879
2003,162,2768.073416
2003,509,1921.259303
2003,801,2726.929276
2003,843,3828.169235
2003,899,5402.472941
2003,955,1452.956256
2003,1079,1767.690158
2003,1436,3639.166809
2003,1617,4967.100876
2003,2381,3692.195896
2003,2387,3725.409389
2003,2538,2958.144765
2003,2667,2941.217778
2003,3018,5227.335676
2003,3399,4100.002462
2003,3614,3839.566571
2003,3775,4323.635282
2003,3820,0
2003,4508,1695.005336
2003,4867,4110.71463
2003,4908,3771.592165
2003,5492,4881.99138
2003,6125,4699.780085
2003,8272,1941.86757
2003,9767,3792.103055
2003,9798,1579.47202
2003,10656,3353.59105
2003,11124,4911.262382
2003,12446,3252.579282
2003,12457,3014.862395
2003,12570,1694.276447
2003,13782,4930.415162
2003,14512,4114.014595
2003,14550,4910.002012
2003,14683,5163.222384
2003,15085,2338.624679
2003,15616,2004.426356
2003,16485,3990.60243
2003,16833,2528.473203
2003,18541,1846.48669
2003,18542,1919.548894
2003,18585,1778.678966
2003,18815,2569.729735
2003,18861,2354.759018
2003,19004,2293.198965
2003,19326,3060.535203
2003,20593,2614.368961
2003,22224,3836.012383
2003,23007,4002.235436
2003,23460,2637.625696
2004,162,2867.517686
2004,509,2331.580249
2004,801,2765.437661
2004,843,3902.160274
2004,899,5594.973433
2004,955,1509.805756
2004,1079,2012.178273
2004,1436,3430.887337
