year,id,old,ndvi
2000,162,2753.688877,0.275368888
2000,509,2076.839133,0.207683913
2000,801,2761.086442,0.276108644
2000,843,4112.086992,0.411208699
2000,899,5905.649367,0.590564937
2000,955,1651.288452,0.165128845
2000,1079,2017.90908,0.201790908
2000,1436,3827.314416,0.382731442
2000,1617,5371.453834,0.537145383
2000,2381,4024.477773,0.402447777
2000,2387,3859.097976,0.385909798
2000,2538,2444.793035,0.244479304
2000,2667,3097.769333,0.309776933
2000,3018,5625.001232,0.562500123
2000,3399,4473.579643,0.447357964
2000,3614,4088.875628,0.408887563
2000,3775,4491.294831,0.449129483
2000,3820,1839.475484,0.183947548
2000,4508,1930.352061,0.193035206
2000,4867,4286.855485,0.428685549
2000,4908,3964.761966,0.396476197
2000,5492,5156.532448,0.515653245
2000,6125,5037.496606,0.503749661
2000,8272,2157.654858,0.215765486
2000,9767,4084.975865,0.408497587
2000,9798,1723.487591,0.172348759
2000,10656,3910.119456,0.391011946
2000,11124,5354.398997,0.5354399
2000,12446,4960.383784,0.496038378
2000,12457,3995.090295,0.39950903
2000,12570,2011.252406,0.201125241
2000,13782,4966.698736,0.496669874
2000,14512,4444.523505,0.444452351
2000,14550,5131.387688,0.513138769
2000,14683,5516.253673,0.551625367
2000,15085,2534.153361,0.253415336
2000,15616,2455.036159,0.245503616
2000,16485,4328.643262,0.432864326
2000,16833,4919.193092,0.491919309
2000,18541,3073.774491,0.307377449
2000,18542,3221.081887,0.322108189
2000,18585,4036.281967,0.403628197
2000,18815,3690.436416,0.369043642
2000,18861,4513.817039,0.451381704
2000,19004,4254.486913,0.425448691
2000,19326,5407.83338,0.540783338
2000,20593,2852.060069,0.285206007
2000,22224,3724.777848,0.372477785
2000,23007,4399.626951,0.439962695
2000,23460,2482.425606,0.248242561
2001,162,2616.475175,0.261647518
2001,509,2041.199569,0.204119957
2001,801,2749.517443,0.274951744
2001,843,4127.350019,0.412735002
2001,899,5792.141258,0.579214126
2001,955,1536.950563,0.153695056
2001,1079,1916.144883,0.191614488
2001,1436,3623.591558,0.362359156
2001,1617,5187.516585,0.518751659
2001,2381,4011.169792,0.401116979
2001,2387,4050.33223,0.405033223
2001,2538,2595.792451,0.259579245
2001,2667,2953.096039,0.295309604
2001,3018,5272.770931,0.527277093
2001,3399,4410.8335,0.44108335
2001,3614,3886.633598,0.38866336
2001,3775,4481.420059,0.448142006
2001,3820,2219.270146,0.221927015
2001,4508,1799.434839,0.179943484
2001,4867,4213.60234,0.421360234
2001,4908,3886.826036,0.388682604
2001,5492,5110.268795,0.51102688
2001,6125,4770.028442,0.477002844
2001,8272,1885.111013,0.188511101
2001,9767,3739.181981,0.373918198
2001,9798,1588.842466,0.158884247
2001,10656,3189.634164,0.318963416
2001,11124,5223.660306,0.522366031
2001,12446,4642.437916,0.464243792
2001,12457,3749.040719,0.374904072
2001,12570,1813.128807,0.181312881
2001,13782,4654.926699,0.46549267
2001,14512,4165.512207,0.416551221
2001,14550,4742.478375,0.474247838
2001,14683,5160.447257,0.516044726
2001,15085,2302.171229,0.230217123
2001,15616,1806.257139,0.180625714
2001,16485,3831.217959,0.383121796
2001,16833,4957.232094,0.495723209
2001,18541,2857.190204,0.28571902
2001,18542,3162.639854,0.316263985
2001,18585,3844.34904,0.384434904
2001,18815,3521.343107,0.352134311
2001,18861,4447.557839,0.444755784
2001,19004,4097.502682,0.409750268
2001,19326,5011.354506,0.501135451
2001,20593,2568.732186,0.256873219
2001,22224,3892.181618,0.389218162
2001,23007,4024.425741,0.402442574
2001,23460,2390.222055,0.239022206
2002,162,2583.882185,0.258388219
2002,509,1606.637975,0.160663798
2002,801,2772.840737,0.277284074
2002,843,3851.14224,0.385114224
2002,899,5372.02078,0.537202078
2002,955,1469.338336,0.146933834
2002,1079,1774.397621,0.177439762
2002,1436,3586.920977,0.358692098
2002,1617,4864.570725,0.486457073
2002,2381,3774.482168,0.377448217
2002,2387,3737.907308,0.373790731
2002,2538,2308.854532,0.230885453
2002,2667,2740.235169,0.274023517
2002,3018,5431.905349,0.543190535
2002,3399,4199.853448,0.419985345
2002,3614,3758.818558,0.375881856
2002,3775,4104.590014,0.410459001
2002,3820,2469.11982,0.246911982
2002,4508,1742.150937,0.174215094
2002,4867,4411.280494,0.441128049
2002,4908,4036.209231,0.403620923
2002,5492,4783.113899,0.47831139
2002,6125,4766.362724,0.476636272
2002,8272,1786.58282,0.178658282
2002,9767,3362.975273,0.336297527
2002,9798,1618.166131,0.161816613
2002,10656,3096.05221,0.309605221
2002,11124,4889.449364,0.488944936
2002,12446,3867.725108,0.386772511
2002,12457,2777.770885,0.277777089
2002,12570,1738.41316,0.173841316
2002,13782,4529.553916,0.452955392
2002,14512,3879.37508,0.387937508
2002,14550,4939.567855,0.493956786
2002,14683,5272.404945,0.527240495
2002,15085,2222.108785,0.222210879
2002,15616,2057.409946,0.205740995
2002,16485,3641.020723,0.364102072
2002,16833,3537.835523,0.353783552
2002,18541,2456.354672,0.245635467
2002,18542,2506.058418,0.250605842
2002,18585,2969.033196,0.29690332
2002,18815,3081.645454,0.308164545
2002,18861,3209.693788,0.320969379
2002,19004,2775.15666,0.277515666
2002,19326,3491.138158,0.349113816
2002,20593,2336.636473,0.233663647
2002,22224,3503.045405,0.350304541
2002,23007,3818.660098,0.38186601
2002,23460,2293.331879,0.229333188
2003,162,2768.073416,0.276807342
2003,509,1921.259303,0.19212593
2003,801,2726.929276,0.272692928
2003,843,3828.169235,0.382816924
2003,899,5402.472941,0.540247294
2003,955,1452.956256,0.145295626
2003,1079,1767.690158,0.176769016
2003,1436,3639.166809,0.363916681
2003,1617,4967.100876,0.496710088
2003,2381,3692.195896,0.36921959
2003,2387,3725.409389,0.372540939
2003,2538,2958.144765,0.295814477
2003,2667,2941.217778,0.294121778
2003,3018,5227.335676,0.522733568
2003,3399,4100.002462,0.410000246
2003,3614,3839.566571,0.383956657
2003,3775,4323.635282,0.432363528
2003,4508,1695.005336,0.169500534
2003,4867,4110.71463,0.411071463
2003,4908,3771.592165,0.377159217
2003,5492,4881.99138,0.488199138
2003,6125,4699.780085,0.469978009
2003,8272,1941.86757,0.194186757
2003,9767,3792.103055,0.379210306
2003,9798,1579.47202,0.157947202
2003,10656,3353.59105,0.335359105
2003,11124,4911.262382,0.491126238
2003,12446,3252.579282,0.325257928
2003,12457,3014.862395,0.30148624
2003,12570,1694.276447,0.169427645
2003,13782,4930.415162,0.493041516
2003,14512,4114.014595,0.41140146
2003,14550,4910.002012,0.491000201
2003,14683,5163.222384,0.516322238
2003,15085,2338.624679,0.233862468
2003,15616,2004.426356,0.200442636
2003,16485,3990.60243,0.399060243
2003,16833,2528.473203,0.25284732
2003,18541,1846.48669,0.184648669
2003,18542,1919.548894,0.191954889
2003,18585,1778.678966,0.177867897
2003,18815,2569.729735,0.256972974
2003,18861,2354.759018,0.235475902
2003,19004,2293.198965,0.229319897
2003,19326,3060.535203,0.30605352
2003,20593,2614.368961,0.261436896
2003,22224,3836.012383,0.383601238
2003,23007,4002.235436,0.400223544
2003,23460,2637.625696,0.26376257
2004,162,2867.517686,0.286751769
2004,509,2331.580249,0.233158025
2004,801,2765.437661,0.276543766
2004,843,3902.160274,0.390216027
2004,899,5594.973433,0.559497343
2004,955,1509.805756,0.150980576
2004,1079,2012.178273,0.201217827
2004,1436,3430.887337,0.343088734
2004,1617,4934.271739,0.493427174
2004,2381,4068.975579,0.406897558
2004,2387,3944.020498,0.39440205
2004,2538,2871.011464,0.287101146
2004,2667,3086.522899,0.30865229
